Player,Tackles,Inter,Clear,Blocks,SpG,KeyP,Drb,Fouled,PS%,Crosses,LongB,ThrB,CB,CF,CM,DM,AM,WM,FB,WF
Mario Hermoso Atletico,0.1951219512195122,0.2799999999999999,0.3950617283950617,0.1818181818181818,0.1041666666666666,0.1470588235294117,0.0857142857142857,0.1351351351351351,0.8196078431372549,0.0,0.7051282051282052,0.0,0.98,0.0,0.02,0.21,0.0,0.12,0.31,0.0
Santi Comesaña Rayo Vallecano,0.4878048780487805,0.32,0.0493827160493827,0.0,0.1458333333333333,0.2647058823529412,0.2285714285714285,0.2162162162162162,0.7823529411764705,0.0,0.1794871794871795,0.0,0.01,0.06,0.41,0.43,0.27,0.35,0.1,0.09
Alex Berenguer Athletic Bilbao,0.3902439024390244,0.12,0.0246913580246913,0.0,0.3333333333333333,0.3823529411764706,0.1999999999999999,0.2162162162162162,0.607843137254902,0.2368421052631578,0.0769230769230769,0.0,0.0,0.65,0.32,0.0,0.71,0.04,0.02,0.96
Moi Gómez Osasuna,0.1951219512195122,0.12,0.0123456790123456,0.0454545454545454,0.1041666666666666,0.5,0.2571428571428571,0.2162162162162162,0.8627450980392157,0.3157894736842105,0.4615384615384616,0.0,0.13,0.43,0.36,0.06,0.58,0.06,0.08,0.71
Borja Iglesias Real Betis,0.073170731707317,0.0,0.074074074074074,0.0,0.4166666666666667,0.1764705882352941,0.1142857142857142,0.4324324324324324,0.5941176470588234,0.0,0.0384615384615384,0.0769230769230769,0.0,0.98,0.02,0.0,0.31,0.0,0.0,0.41
Rodrigo De Paul Atletico,0.2682926829268293,0.08,0.0246913580246913,0.0909090909090909,0.125,0.4411764705882353,0.1428571428571428,0.3783783783783783,0.7960784313725489,0.131578947368421,0.4230769230769231,0.1538461538461538,0.06,0.19,0.49,0.1,0.71,0.09,0.04,0.54
Thierry Correia Valencia,0.6585365853658538,0.4,0.2098765432098765,0.0,0.0625,0.1176470588235294,0.1428571428571428,0.5135135135135134,0.6764705882352942,0.2368421052631578,0.2820512820512821,0.0,0.24,0.05,0.33,0.23,0.07,0.67,0.88,0.01
Joseph Aidoo Celta Vigo,0.3902439024390244,0.36,0.5185185185185186,0.1818181818181818,0.0833333333333333,0.0,0.0571428571428571,0.1081081081081081,0.8078431372549018,0.0,0.2948717948717949,0.0,1.0,0.0,0.0,0.18,0.0,0.0,0.12,0.0
Raúl Albiol Villarreal,0.2682926829268293,0.24,0.5555555555555556,0.2727272727272727,0.0208333333333333,0.0294117647058823,0.0285714285714285,0.1351351351351351,0.8705882352941174,0.0,0.6666666666666667,0.0,0.99,0.0,0.02,0.5,0.0,0.0,0.35,0.0
Dani Ceballos Real Madrid,0.2926829268292683,0.32,0.0246913580246913,0.0454545454545454,0.0833333333333333,0.2941176470588235,0.2857142857142857,0.2972972972972972,0.9274509803921568,0.0526315789473684,0.2948717948717949,0.0769230769230769,0.18,0.11,0.55,0.14,0.06,0.46,0.14,0.01
Martin Braithwaite Espanyol,0.1219512195121951,0.08,0.0617283950617284,0.0,0.4166666666666667,0.1176470588235294,0.1714285714285714,0.3513513513513513,0.407843137254902,0.0263157894736842,0.0384615384615384,0.0,0.01,1.0,0.03,0.0,0.45,0.03,0.0,0.5
Óscar Valentín Rayo Vallecano,0.6829268292682927,0.52,0.0987654320987654,0.1363636363636363,0.0833333333333333,0.1764705882352941,0.0571428571428571,0.3783783783783783,0.7254901960784315,0.0,0.3076923076923077,0.0,0.1,0.0,0.4,0.76,0.04,0.05,0.13,0.0
Óscar Trejo Rayo Vallecano,0.3170731707317074,0.08,0.037037037037037,0.0454545454545454,0.1458333333333333,0.4117647058823529,0.4857142857142856,0.5675675675675675,0.749019607843137,0.0263157894736842,0.0769230769230769,0.1538461538461538,0.0,0.35,0.21,0.11,0.65,0.06,0.04,0.95
Fran García Rayo Vallecano,0.4634146341463415,0.52,0.1481481481481481,0.0909090909090909,0.1666666666666666,0.2058823529411764,0.2285714285714285,0.1891891891891891,0.7352941176470589,0.2105263157894736,0.2051282051282051,0.0,0.04,0.0,0.17,0.18,0.01,0.81,0.96,0.0
Luiz Henrique Real Betis,0.3902439024390244,0.2,0.0493827160493827,0.0,0.3125,0.1470588235294117,0.4571428571428571,0.3513513513513513,0.6529411764705881,0.0789473684210526,0.0384615384615384,0.0,0.0,0.43,0.17,0.01,0.2,0.27,0.01,0.71
Oriol Romeu Girona,0.5121951219512196,0.4,0.1358024691358025,0.1363636363636363,0.1666666666666666,0.2058823529411764,0.1428571428571428,0.2432432432432432,0.8235294117647058,0.0263157894736842,0.3461538461538462,0.0,0.14,0.0,0.42,0.84,0.0,0.01,0.03,0.0
Geoffrey Kondogbia Atletico,0.5609756097560976,0.6400000000000001,0.074074074074074,0.0454545454545454,0.1458333333333333,0.088235294117647,0.0285714285714285,0.2972972972972972,0.8784313725490196,0.0,0.1666666666666666,0.0,0.4,0.03,0.37,0.87,0.01,0.08,0.16,0.0
Chimy Avila Osasuna,0.073170731707317,0.12,0.0617283950617284,0.0,0.4791666666666666,0.2058823529411764,0.1428571428571428,0.3783783783783783,0.2803921568627452,0.1842105263157894,0.2179487179487179,0.0,0.01,0.89,0.29,0.02,0.61,0.01,0.06,0.83
Nahuel Molina Atletico,0.4878048780487805,0.16,0.1728395061728395,0.0909090909090909,0.1041666666666666,0.3529411764705882,0.1428571428571428,0.1351351351351351,0.6705882352941175,0.2105263157894736,0.2435897435897436,0.0769230769230769,0.1,0.06,0.36,0.13,0.04,0.8,0.97,0.01
Íñigo Ruíz de Galarreta Mallorca,0.4878048780487805,0.4,0.0864197530864197,0.1363636363636363,0.0625,0.2058823529411764,0.1428571428571428,0.3243243243243243,0.803921568627451,0.0789473684210526,0.3205128205128205,0.0,0.12,0.0,0.3,0.42,0.0,0.44,0.39,0.01
Ferland Mendy Real Madrid,0.2682926829268293,0.36,0.0617283950617284,0.0454545454545454,0.0208333333333333,0.2647058823529412,0.3142857142857143,0.3243243243243243,0.9372549019607844,0.0263157894736842,0.1282051282051282,0.0,0.07,0.09,0.39,0.45,0.28,0.4,0.38,0.12
