Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"148Ainsley Maitland-NilesSouthampton, 25, D(LR),M(CLR)","Ainsley Maitland-Niles Southampton, 25, D(LR),M(CLR)",-,0.4,25.6,80.9,0.3,1.1,-,6.65,9(7),979.0
"149Aaron CresswellWest Ham, 33, D(CL),M(L)","Aaron Cresswell West Ham, 33, D(CL),M(L)",-,1.6,43.0,83.2,1.7,2.4,0.1,6.64,17(3),1581.0
"150David de GeaMan Utd, 32, GK","David de Gea Man Utd, 32, GK",-,-,27.6,69.4,-,4.7,-,6.64,27,2430.0
"151Jefferson LermaBournemouth, 28, D(R),DMC","Jefferson Lerma Bournemouth, 28, D(R),DMC",-,0.4,40.7,81.6,-,1.1,0.1,6.64,27,2371.0
"152Idrissa GueyeEverton, 33, M(C)","Idrissa Gueye Everton, 33, M(C)",1,0.3,39.4,85.8,-,1.3,-,6.63,23(1),1888.0
"153FabinhoLiverpool, 29, D(CR),DMC","Fabinho Liverpool, 29, D(CR),DMC",-,0.4,46.3,87.9,-,2.1,-,6.63,20(5),1777.0
"154Rico HenryBrentford, 25, D(L),M(L)","Rico Henry Brentford, 25, D(L),M(L)",2,0.7,25.6,73.0,0.5,1.0,0.1,6.63,27,2409.0
"155Demarai GrayEverton, 26, AM(CLR),FW","Demarai Gray Everton, 26, AM(CLR),FW",1,1.3,21.7,81.4,1.1,0.9,-,6.62,23(4),2103.0
"156Wilfried GnontoLeeds, 19, AM(L)","Wilfried Gnonto Leeds, 19, AM(L)",3,1.1,22.6,76.0,0.3,0.1,0.1,6.62,12(4),1067.0
"157Manuel AkanjiMan City, 27, D(CR)","Manuel Akanji Man City, 27, D(CR)",1,0.2,71.5,93.4,-,2.3,-,6.62,18(3),1721.0
"158Boubacar KamaraAston Villa, 23, D(CL),DMC","Boubacar Kamara Aston Villa, 23, D(CL),DMC",1,0.4,43.9,84.9,-,2.3,0.1,6.62,19(1),1573.0
"159Harvey BarnesLeicester, 25, AM(CL)","Harvey Barnes Leicester, 25, AM(CL)",1,0.6,22.5,72.9,0.2,0.3,-,6.62,25(1),2132.0
"160Anthony GordonEverton, 22, AM(LR)","Anthony Gordon Everton, 22, AM(LR)",-,0.5,15.8,75.1,0.2,0.4,0.1,6.61,12(4),1097.0
"161José SáWolves, 30, GK","José Sá Wolves, 30, GK",-,-,28.6,68.5,-,4.0,-,6.61,29,2610.0
