Player,Player.1,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Apps,Mins
"107Hamari TraoréRennes, 31, D(R),M(R)","Hamari Traoré Rennes, 31, D(R),M(R)",2,0.6,52.7,87.4,0.5,2.1,-,6.75,19(3),1744.0
"108Sergio RamosPSG, 37, D(CR)","Sergio Ramos PSG, 37, D(CR)",1,0.1,70.4,95.0,0.2,4.3,-,6.75,22(2),1899.0
"109Jean-Charles CastellettoNantes, 28, D(C)","Jean-Charles Castelletto Nantes, 28, D(C)",-,-,39.0,83.3,0.1,2.1,-,6.75,21(2),1759.0
"110Aaron RamseyNice, 32, M(CLR)","Aaron Ramsey Nice, 32, M(CLR)",1,1,35.6,87.3,0.5,2.2,0.1,6.75,15(8),1318.0
"111Danilo PereiraPSG, 31, D(C),DMC","Danilo Pereira PSG, 31, D(C),DMC",-,0.2,54.8,94.1,-,2.0,-,6.75,18(6),1634.0
"112Mama BaldéTroyes, 27, D(R),M(CLR),FW","Mama Baldé Troyes, 27, D(R),M(CLR),FW",3,0.8,15.1,69.2,-,0.4,-,6.75,23(3),2011.0
"113Melvin BardNice, 22, D(L),M(L)","Melvin Bard Nice, 22, D(L),M(L)",-,0.3,36.2,80.5,0.2,1.0,-,6.74,20(4),1806.0
"114Mory DiawClermont Foot, 29, GK","Mory Diaw Clermont Foot, 29, GK",-,0.1,33.3,66.4,-,8.1,-,6.74,29,2610.0
"115Saîf-Eddine KhaouiClermont Foot, 27, AM(CR)","Saîf-Eddine Khaoui Clermont Foot, 27, AM(CR)",3,1.3,22.3,73.7,0.4,0.8,-,6.74,20(6),1740.0
"116MarquinhosPSG, 28, D(CR),DMC","Marquinhos PSG, 28, D(CR),DMC",-,0.2,65.7,95.4,-,2.4,-,6.73,23(2),2080.0
"117Azzedine OunahiAngers, 22, AM(CR)","Azzedine Ounahi Angers, 22, AM(CR)",-,1.1,40.4,88.3,0.2,2.3,0.1,6.73,13(2),1137.0
"118Mikkel DeslerToulouse, 28, D(R)","Mikkel Desler Toulouse, 28, D(R)",2,0.6,46.3,86.1,0.3,1.3,-,6.73,20(1),1747.0
"119Angel GomesLille, 22, M(CL),FW","Angel Gomes Lille, 22, M(CL),FW",6,1.1,47.5,87.8,0.3,2.5,0.1,6.72,27(1),2222.0
"120Elye WahiMontpellier, 20, AM(L),FW","Elye Wahi Montpellier, 20, AM(L),FW",2,0.6,13.0,69.8,-,0.2,-,6.72,22(3),1922.0
