Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"107Hamari TraoréRennes, 31, D(R),M(R)","Hamari Traoré Rennes, 31, D(R),M(R)",19(3),1744,1,2,0.9,0.6,0.1,0.3,0.1,0.4,0.9,6.75
"108Sergio RamosPSG, 37, D(CR)","Sergio Ramos PSG, 37, D(CR)",22(2),1899,-,1,0.4,0.1,0.2,0.8,0.1,0.2,0.2,6.75
"109Jean-Charles CastellettoNantes, 28, D(C)","Jean-Charles Castelletto Nantes, 28, D(C)",21(2),1759,-,-,0.3,-,0.4,0.6,-,0.2,0.7,6.75
"110Aaron RamseyNice, 32, M(CLR)","Aaron Ramsey Nice, 32, M(CLR)",15(8),1318,1,1,0.9,1,0.6,0.7,0.1,1,0.8,6.75
"111Danilo PereiraPSG, 31, D(C),DMC","Danilo Pereira PSG, 31, D(C),DMC",18(6),1634,2,-,0.6,0.2,0.3,0.4,-,0.3,0.4,6.75
"112Mama BaldéTroyes, 27, D(R),M(CLR),FW","Mama Baldé Troyes, 27, D(R),M(CLR),FW",23(3),2011,10,3,2.4,0.8,1.3,1.3,0.8,1.7,3.4,6.75
"113Melvin BardNice, 22, D(L),M(L)","Melvin Bard Nice, 22, D(L),M(L)",20(4),1806,-,-,0.2,0.3,0.7,0.5,-,0.5,0.8,6.74
"114Mory DiawClermont Foot, 29, GK","Mory Diaw Clermont Foot, 29, GK",29,2610,-,-,-,0.1,-,0.1,-,-,-,6.74
"115Saîf-Eddine KhaouiClermont Foot, 27, AM(CR)","Saîf-Eddine Khaoui Clermont Foot, 27, AM(CR)",20(6),1740,4,3,1.4,1.3,0.8,1.2,0.3,0.7,1.3,6.74
"116MarquinhosPSG, 28, D(CR),DMC","Marquinhos PSG, 28, D(CR),DMC",23(2),2080,2,-,0.6,0.2,-,0.3,-,0.2,0.3,6.73
"117Azzedine OunahiAngers, 22, AM(CR)","Azzedine Ounahi Angers, 22, AM(CR)",13(2),1137,-,-,1.5,1.1,2.7,1.6,0.1,0.8,1.7,6.73
"118Mikkel DeslerToulouse, 28, D(R)","Mikkel Desler Toulouse, 28, D(R)",20(1),1747,1,2,0.4,0.6,0.8,1.3,0.1,0.7,1.6,6.73
"119Angel GomesLille, 22, M(CL),FW","Angel Gomes Lille, 22, M(CL),FW",27(1),2222,2,6,1.4,1.1,0.8,1.3,-,0.8,1.2,6.72
"120Elye WahiMontpellier, 20, AM(L),FW","Elye Wahi Montpellier, 20, AM(L),FW",22(3),1922,12,2,1.8,0.6,0.8,1.3,0.8,1.5,2.8,6.72
"121Johan GastienClermont Foot, 35, DMC","Johan Gastien Clermont Foot, 35, DMC",20(2),1797,2,2,0.5,0.9,0.3,1.1,-,0.5,1.0,6.72
"122Maxime DupéToulouse, 30, GK","Maxime Dupé Toulouse, 30, GK",29,2610,-,-,-,-,-,0.1,-,-,0.1,6.72
"123Arnaud KalimuendoRennes, 21, FW","Arnaud Kalimuendo Rennes, 21, FW",19(3),1468,7,2,1.5,0.5,0.9,0.7,0.3,1.2,2.2,6.71
"124Corentin TolissoLyon, 28, D(R),M(CR)","Corentin Tolisso Lyon, 28, D(R),M(CR)",17(5),1350,-,1,0.5,1,0.2,1.2,-,0.5,0.6,6.71
"125JubalAuxerre, 29, D(C)","Jubal Auxerre, 29, D(C)",26(2),2406,2,1,0.4,0.1,-,0.8,0.1,0.1,0.6,6.71
"126Thijs DallingaToulouse, 22, FW","Thijs Dallinga Toulouse, 22, FW",22(6),1733,11,1,1.5,0.7,0.3,0.5,0.7,0.5,1.1,6.7
