Player,Player.1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
"31Miguel AlmirónNewcastle, 29, AM(CLR),FW","Miguel Almirón Newcastle, 29, AM(CLR),FW",24(1),1995,11,1,2,0.7,1,1.1,0.4,0.7,1.4,7.01
"32João PalhinhaFulham, 27, DMC","João Palhinha Fulham, 27, DMC",25,2226,3,-,1.2,0.1,0.3,1.5,-,0.7,0.9,7.01
"33Ben MeeBrentford, 33, D(CL)","Ben Mee Brentford, 33, D(CL)",27,2380,3,1,0.7,0.2,0.2,0.4,-,-,0.6,7.01
"34Bernd LenoFulham, 31, GK","Bernd Leno Fulham, 31, GK",26,2340,-,-,-,-,-,-,-,-,-,7.0
"35Marcus RashfordMan Utd, 25, AM(CLR),FW","Marcus Rashford Man Utd, 25, AM(CLR),FW",25(2),2225,14,3,2.6,0.7,1.2,0.7,0.4,1.1,2.4,7.0
"36Ilkay GündoganMan City, 32, M(C)","Ilkay Gündogan Man City, 32, M(C)",21(4),1849,4,3,1.7,1.3,0.4,0.8,0.2,0.9,0.8,7.0
"37Diogo DalotMan Utd, 24, D(LR),M(R)","Diogo Dalot Man Utd, 24, D(LR),M(R)",18(1),1612,-,2,0.9,1.4,0.9,0.2,-,0.3,0.7,7.0
"38Christian NørgaardBrentford, 29, D(C),DMC","Christian Nørgaard Brentford, 29, D(C),DMC",17(1),1479,1,3,0.8,0.6,0.3,0.9,-,0.4,0.7,7.0
"39Moisés CaicedoBrighton, 21, DMC","Moisés Caicedo Brighton, 21, DMC",24(1),2181,1,1,0.8,1.2,0.7,1.4,-,0.7,1.2,6.99
"40Rúben NevesWolves, 26, DMC","Rúben Neves Wolves, 26, DMC",28,2484,5,-,2,0.8,0.6,0.5,-,0.4,0.6,6.99
"41Granit XhakaArsenal, 30, D(L),M(C)","Granit Xhaka Arsenal, 30, D(L),M(C)",28(1),2386,5,5,1.0,1.4,0.3,1.1,0.1,0.7,1.0,6.99
"42Leandro TrossardBrighton, 28, M(CLR),FW","Leandro Trossard Brighton, 28, M(CLR),FW",16,1326,7,2,2.4,1.4,0.9,0.8,0.3,1.6,2.4,6.99
"43Riyad MahrezMan City, 32, AM(CLR),FW","Riyad Mahrez Man City, 32, AM(CLR),FW",13(7),1154,5,5,1.6,1.6,0.8,1.5,0.3,0.6,1.0,6.98
"44Declan RiceWest Ham, 24, D(C),DMC","Declan Rice West Ham, 24, D(C),DMC",27,2430,2,2,1.0,1.2,0.7,0.3,-,0.7,0.6,6.98
"45Marcus TavernierBournemouth, 24, M(CLR)","Marcus Tavernier Bournemouth, 24, M(CLR)",16(2),1418,4,4,1.6,0.9,1.9,1.5,0.2,1.7,2.3,6.97
"46James Ward-ProwseSouthampton, 28, M(CR)","James Ward-Prowse Southampton, 28, M(CR)",29,2610,7,2,1.3,2.2,0.2,0.5,-,0.7,0.7,6.97
"47Pascal GroßBrighton, 31, D(R),M(CR),FW","Pascal Groß Brighton, 31, D(R),M(CR),FW",26,2277,6,4,1.0,2.2,0.4,0.5,0.3,0.6,1.1,6.96
"48Oleksandr ZinchenkoArsenal, 26, D(L),M(CLR)","Oleksandr Zinchenko Arsenal, 26, D(L),M(CLR)",21(1),1751,1,2,1.1,0.8,0.6,0.5,-,0.6,0.7,6.95
"49James TarkowskiEverton, 30, D(C)","James Tarkowski Everton, 30, D(C)",29,2610,1,1,0.8,0.4,0.2,0.7,-,0.2,0.6,6.94
